iter	Passed	Remaining
0	185	185302
1	186	93189
2	189	62867
3	191	47638
4	194	38616
5	195	32404
6	196	27931
7	201	24941
8	202	22351
9	204	20217
10	205	18456
11	206	16994
12	207	15759
13	209	14738
14	210	13809
15	211	13001
16	212	12287
17	214	11684
18	215	11126
19	216	10626
20	217	10162
21	219	9746
22	220	9361
23	221	9000
24	222	8674
25	223	8372
26	224	8089
27	225	7841
28	227	7605
29	228	7398
30	230	7198
31	231	7002
32	232	6813
33	233	6637
34	235	6497
35	238	6375
36	239	6227
37	240	6092
38	241	5959
39	243	5835
40	245	5741
41	247	5634
42	248	5522
43	249	5412
44	250	5308
45	251	5216
46	252	5117
47	253	5031
48	255	4954
49	257	4886
50	262	4888
51	263	4808
52	264	4729
53	265	4655
54	266	4583
55	267	4515
56	268	4448
57	269	4384
58	272	4352
59	274	4294
60	275	4235
61	276	4177
62	277	4121
63	278	4070
64	279	4018
65	280	3967
66	281	3919
67	283	3880
68	284	3841
69	287	3825
70	289	3785
71	290	3744
72	291	3704
73	293	3667
74	294	3629
75	295	3592
76	296	3553
77	297	3519
78	298	3485
79	302	3480
80	303	3445
81	304	3411
82	305	3372
83	306	3339
84	307	3308
85	308	3278
86	309	3248
87	310	3220
88	312	3193
89	313	3174
90	316	3157
91	318	3139
92	319	3115
93	320	3088
94	321	3063
95	322	3039
96	323	3014
97	325	2995
98	326	2972
99	328	2956
100	330	2944
101	335	2950
102	338	2944
103	339	2924
104	340	2902
105	341	2882
106	343	2864
107	344	2847
108	347	2839
109	348	2819
110	349	2801
111	350	2781
112	351	2761
113	352	2742
114	353	2723
115	354	2704
116	355	2684
117	356	2665
118	359	2659
119	361	2650
120	362	2632
121	363	2613
122	364	2598
123	365	2581
124	366	2565
125	367	2549
126	368	2532
127	369	2517
128	370	2502
129	371	2486
130	374	2485
131	375	2470
132	376	2454
133	377	2440
134	378	2426
135	379	2412
136	380	2397
137	381	2383
138	382	2369
139	383	2356
140	384	2342
141	385	2328
142	386	2316
143	388	2308
144	389	2298
145	390	2286
146	391	2274
